Model,Variability,mae,rmse,r2,median_ae,explained_var,Parameters,Inference_latency,Inference_throughput,Inference_memory_usage,mae_norm,latency_norm,efficiency_score
LSTM,low,0.13700188053195045,0.1699483281427454,0.46910166326576647,0.11367797794975798,0.4989431321365721,64.0,0.014884328842163086,2335274.930337309,0.0,0.8638093628570787,1.0,0.9319046814285393
LSTM,medium,0.07541107616406291,0.10183542988151639,0.8432414641578828,0.05654591018403017,0.8434205291732166,64.0,0.014884328842163086,2335274.930337309,0.0,0.3896263922250287,1.0,0.6948131961125144
LSTM,high,0.058403240790412966,0.07408922763471942,0.866471235942602,0.04893923866726323,0.9083188914849166,64.0,0.014884328842163086,2335274.930337309,0.0,0.25868434682931923,1.0,0.6293421734146596
Ridge,low,0.15469144639262852,0.20836791424413925,0.2602344167443597,0.13465467531567005,0.2850385504460981,124.0,0.0021044254302978516,16517097.4934856,0.0,1.0,0.10574661252489932,0.5528733062624497
Ridge,medium,0.12114736921846064,0.5838138544237157,-8.535543674397532,0.051340038346025615,-8.37394462132991,124.0,0.0021044254302978516,16517097.4934856,0.0,0.7417466726599399,0.10574661252489932,0.4237466425924196
Ridge,high,0.024803179241676937,0.03554167015364418,0.9698214757926321,0.01806260100188499,0.9714832823767896,124.0,0.0021044254302978516,16517097.4934856,0.0,0.0,0.10574661252489932,0.05287330626244966
ES,low,0.032016088180664176,0.08468991899774869,0.8756813296721084,0.0074675957891315314,0.875682096617339,1.0,0.0017237663269042969,20164566.076901797,0.0,0.05553164344401215,0.07911059801739699,0.06732112073070456
ES,medium,0.04631615737941938,0.11170377643871582,0.8080581608077879,0.02009613213065591,0.808058887185459,1.0,0.0017237663269042969,20164566.076901797,0.0,0.16562680070818725,0.07911059801739699,0.12236869936279213
ES,high,0.12027307834148548,0.1607229215656205,0.38768087251625727,0.0951020893665517,0.38768825060792544,1.0,0.0017237663269042969,20164566.076901797,0.0,0.7350155729528425,0.07911059801739699,0.4070630854851197
Ensemble,low,0.10451570290483198,0.12535396697695378,0.7338231980466514,0.0958818236641249,0.7356835512724607,,0.0005931854248046875,58597191.61414791,0.0,0.6137007245659528,0.0,0.3068503622829764
Ensemble,medium,0.07350465068869218,0.24872423548820996,-0.4990712893240199,0.038280821673830595,-0.47169862571888005,,0.0005931854248046875,58597191.61414791,0.0,0.3749489658709212,0.0,0.1874744829354606
Ensemble,high,0.04191509508110256,0.05269178152299034,0.9338697820714051,0.036939320490744006,0.9428502353666189,,0.0005931854248046875,58597191.61414791,0.0,0.13174335307390586,0.0,0.06587167653695293
